session,budget_year,expenditure_area,expenditure_area_name,actor,proposal_type,proposed_msek,approved_budget_msek,amendments_msek,outturn_msek,outturn_minus_proposal_msek,proposal_source_url,outturn_source_url
2016/17,2017,19,Regional tillväxt,L,party_motion,3507,3595.4809999999998,0.0,2808.29513749,-698.7048625100001,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,20,Allmän miljö- och naturvård,L,party_motion,6103,8403.539,509.0,7780.1020456,1677.1020455999997,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,21,Energi,L,party_motion,2571,2936.295,203.0,3051.663969999999,480.66396999999915,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,22,Kommunikationer,L,party_motion,54463,55039.651999999995,43.0,53223.35690792,-1239.6430920799976,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,23,"Areella näringar, landsbygd och livsmedel",L,party_motion,16978,17189.401,1052.5,17225.16740526,247.1674052599992,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,24,Näringsliv,L,party_motion,5514,6456.0199999999995,400.0,6415.597453350001,901.5974533500012,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,25,Allmänna bidrag till kommuner,L,party_motion,99621,105554.92,11.236,105565.837046,5944.837046000001,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,26,Statsskuldsräntor m.m.,L,party_motion,16468,16467.79,0.0,10568.71727342,-5899.282726580001,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,27,Avgiften till Europeiska unionen,L,party_motion,29586,29586.305,0.0,24224.47935722,-5361.52064278,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,1,Rikets styrelse,M,party_motion,13070,13592.676,47.2,13654.491512609999,584.4915126099986,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,2,Samhällsekonomi och finansförvaltning,M,party_motion,15089,15009.626999999999,25.0,15004.768431769999,-84.23156823000136,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
